repayment_id,loan_id,repayment_date,amount_due,amount_paid,payment_status,days_past_due
1faad014-8f53-4d26-98cb-5da2b80e3304,665e2124-c5e9-479c-9ffb-62fe6e38d8d8,2024-12-15,266.36,266.36,Paid,0
5aa69073-18d5-4168-89e7-6eb888009467,665e2124-c5e9-479c-9ffb-62fe6e38d8d8,2025-01-14,266.36,0.0,Defaulted,69
0d13fc19-f36f-4a9d-887d-4ce862a990e0,665e2124-c5e9-479c-9ffb-62fe6e38d8d8,2025-02-13,266.36,266.36,Paid,0
a09b811d-22ec-4102-b955-afd696034225,665e2124-c5e9-479c-9ffb-62fe6e38d8d8,2025-03-15,266.36,266.36,Paid,0
5abb61a9-238f-42c5-bc09-795b2d0297a7,665e2124-c5e9-479c-9ffb-62fe6e38d8d8,2025-04-14,266.36,266.36,Late,3
7a3e1056-b254-4faa-a99a-47ba16a227f1,665e2124-c5e9-479c-9ffb-62fe6e38d8d8,2025-05-14,266.36,266.36,Paid,0
aa4397da-66fb-4c3b-a378-e95adfa2a471,665e2124-c5e9-479c-9ffb-62fe6e38d8d8,2025-06-13,266.36,133.18,Late,14
350f8e29-545e-488e-8dc4-a8ade9f4ba83,665e2124-c5e9-479c-9ffb-62fe6e38d8d8,2025-07-13,266.36,266.36,Paid,0
a3441142-372a-4b95-abdb-d3b922776833,665e2124-c5e9-479c-9ffb-62fe6e38d8d8,2025-08-12,266.36,266.36,Paid,0
c7374469-6731-45d1-a574-d1540a7b092e,665e2124-c5e9-479c-9ffb-62fe6e38d8d8,2025-09-11,266.36,266.36,Paid,0
2b432dc5-1a6c-4f33-9c89-ead94de1266d,665e2124-c5e9-479c-9ffb-62fe6e38d8d8,2025-10-11,266.36,266.36,Paid,0
5b53602f-f7a6-480e-a068-a7be5cf8786c,665e2124-c5e9-479c-9ffb-62fe6e38d8d8,2025-11-10,266.36,266.36,Paid,0
de5d6af8-a29a-46b8-ab5c-5385f77fa053,2412577d-5cf3-414f-9161-160958bf29e5,2025-02-18,4636.56,4636.56,Paid,0
b49dbd07-4fa3-47dd-9f46-c3e2a8af7b57,2412577d-5cf3-414f-9161-160958bf29e5,2025-03-20,4636.56,4636.56,Paid,0
6d1c858f-feac-4006-9643-aedaec06a53a,2412577d-5cf3-414f-9161-160958bf29e5,2025-04-19,4636.56,2318.28,Late,7
eeefd3be-c60e-4f37-ae4c-94050cf980ef,2412577d-5cf3-414f-9161-160958bf29e5,2025-05-19,4636.56,4636.56,Paid,0
2fbf326d-6611-4190-8f35-d00afed421b1,2412577d-5cf3-414f-9161-160958bf29e5,2025-06-18,4636.56,4636.56,Paid,0
7db1c26f-5dc6-4eba-8125-3ddb99f2f961,2412577d-5cf3-414f-9161-160958bf29e5,2025-07-18,4636.56,4636.56,Paid,0
26b020c9-fbb3-40b0-95c4-036fe559fa50,2412577d-5cf3-414f-9161-160958bf29e5,2025-08-17,4636.56,4636.56,Paid,0
4009770e-ca86-428e-9656-b629f3a3e026,2412577d-5cf3-414f-9161-160958bf29e5,2025-09-16,4636.56,4636.56,Paid,0
afc02eda-8079-4bdb-9cdd-cc4f2ac7d910,2412577d-5cf3-414f-9161-160958bf29e5,2025-10-16,4636.56,2318.28,Late,14
